Date;Isolation;Muscu;Stretching;warmup;Chorée;Temps;Chorée_1;Temps_2;Chorée_3;Temps_4;Style;Temps_5;Style_6;Temps_7;Autre;Chorée_8;Temps_9;Chorée_10;Temps_11;Abdos;Gainage;Jambes;Bras;All;Escalade;Waacking;running_temps;running_km;Pleurs;Raisons;Column1;_12;Règles;SPM;Durée;Détails;Mood;Journaling;Stretching2;Danse;Sport;Lecture;Album;Film;Rangement;Culture;Art;Skincare;Compétence;Split stretching;Muscu3
14/03/2024;VRAI;FAUX;VRAI;;Itzy - Break my heart;10;;;;;;;;;;;;;;;;;;;;;;;2;Solitude;;;FAUX;FAUX;2 fois moins d'une minut;;3;0;1;1;0;0;0;0;0;0;0;1;1;1;0
15/03/2024;FAUX;FAUX;FAUX;;Itzy - Break my heart;15;Jungkook - 3D;10;NMIXX - LoveMe;6;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;0;1;0;;0
16/03/2024;FAUX;FAUX;VRAI;;Jungkook - 3D;25;NMIXX - LoveMe;14;Mario;10;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;1;0;1;0;0;;0;0;1;0;1;0
17/03/2024;FAUX;FAUX;VRAI;;Itzy - Break my heart;4;SKZ - Thunderous;25;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;1;1;1;0;0;0;0;;0;0;1;0;1;0
18/03/2024;FAUX;FAUX;FAUX;;Itzy - Break my heart;13;Mario;7;SKZ - Thunderous;7;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;FAUX;VRAI;;;4;0;1;1;0;1;0;0;;0;1;1;0;;0
19/03/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;4;0;1;0;0;0;0;0;;0;0;1;0;0;0
20/03/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;1;0;1;0;0;1;0;0;;0;0;1;0;0;0
21/03/2024;FAUX;FAUX;FAUX;;;;;;;;;;;;;;;;;;;;;;;;;;1;Musique;;;FAUX;VRAI;;;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0
22/03/2024;VRAI;FAUX;VRAI;;Itzy - Break my heart;36;SKZ - Thunderous;33;Ariana - God;28;Hiphop;18;Waacking;19;;;;;;;;;;;;;;;;;;;FAUX;FAUX;;;2;0;1;1;0;1;0;0;;0;0;1;0;1;0
23/03/2024;VRAI;FAUX;VRAI;;Ariana - God;17;Chungha - Eenie Meenie;30;;;;;;;;;;;;;;;;;;;;;1;Film/vidéo;;;VRAI;FAUX;1 sec;;2;0;1;1;0;1;0;0;;0;0;1;0;1;0
