"ISBN";"Titre";"Auteur";"Editeur";"Date de publication";"Date d`entrée dans Babelio";"Statut";"Note"
"9782843379833";"Solitudes mineures";"Desbordes Lucie";"Editions Anne Carrière";"2020-07-03";"2022-10-04 18:08:21";"Lu";"4.0"
"9782075130936";"Visa Transit, tome 1";"Crécy Nicolas de";"Gallimard Jeunesse";"2019-09-11";"2022-09-27 16:06:52";"Lu";"1.0"
"9782298100761";"Pétronille";"Nothomb Amélie";"DRUCKEREI";"0000-00-00";"2022-09-22 15:52:56";"Lu";"3.5"
"9782258099906";"Le vieux qui ne voulait pas fêter son anniversaire";"Jonasson Jonas";"Presses de la Cité";"2012-10-18";"2022-08-26 12:49:34";"Lu";"2.5"
"9782378910709";"Les neuf vies de Rose Napolitano";"Freitas Donna";"Nil";"2022-01-13";"2022-08-22 16:24:38";"Lu";"1.5"
"9782221203323";"La servante écarlate";"Atwood Margaret";"Robert Laffont";"2017-06-08";"2022-08-10 21:55:09";"Lu";"3.5"
"9782017095439";"Profondeurs de l'océan";"Braswell Liz";"Hachette Pratique";"2019-09-11";"2022-08-10 14:44:27";"Lu";"0.0"
"9782253936138";"Je revenais des autres";"Da Costa Mélissa";"Le Livre de Poche";"2022-01-26";"2022-08-02 11:53:22";"Lu";"3.0"
"9782355841415";"Tout est sous contrôle";"Laurie Hugh";"Sonatine";"2012-01-19";"2022-07-20 09:52:26";"Lu";"3.0"
"9782290252505";"10 minutes et 38 secondes dans ce monde étrange";"Shafak Elif";"J'ai lu";"2022-02-02";"2022-07-09 16:48:17";"Lu";"3.5"
"9782707347268";"Histoires de la nuit";"Mauvignier Laurent";"Minuit";"2022-01-06";"2022-07-09 16:46:54";"Lu";"4.0"
"9782883534612";"Les Quatre Accords toltèques : La voie de la liberté personnelle";"Ruiz Miguel";"Jouvence éd.";"2005-12-05";"2022-05-30 12:21:44";"Lu";"2.0"
"9782253262718";"Les Evasions particulières";"Olmi Véronique";"Le Livre de Poche";"2022-03-02";"2022-05-30 12:20:52";"Lu";"3.5"
"9782714457899";"Étonnez-moi";"Shipstead Maggie";"Belfond";"2015-10-14";"2022-05-16 18:46:30";"Lu";"3.0"
"9782381330365";"I am not Starfire";"Tamaki Mariko";"Urban Link";"2022-04-01";"2022-05-10 18:57:29";"Lu";"3.5"
"9782749139937";"La parenthèse incandescente";"Rinaldi Robin";"Le Cherche midi";"2015-09-10";"2022-05-02 16:24:50";"Lu";"2.5"
"9782253141433";"J'irai cracher sur vos tombes";"Vian Boris";"Librairie générale française";"1997-03-01";"2022-04-29 14:36:19";"Lu";"0.0"
"9782226446534";"Vernon Subutex, tome 1  (BD)";"Luz ";"Albin Michel";"2020-11-12";"2022-04-16 10:15:07";"Lu";"3.0"
"9782080249647";"Vénère : Être une femme en colère dans un monde d'hommes";"Merakchi Taous";"Flammarion";"2022-03-02";"2022-04-11 13:30:33";"Lu";"0.0"
"9782869067721";"La fin du game ?";"Ter Minassian Hovig";"Rabelais";"2021-04-08";"2022-03-29 12:13:12";"Lu";"3.0"
"9782264068927";"La Couleur de l'eau";"Hudson Kerry";"10 X 18";"2017-02-02";"2022-03-28 02:52:14";"Lu";"3.5"
"9782253103738";"La fièvre";"Spitzer Sébastien";"Le Livre de Poche";"2022-01-12";"2022-03-22 08:43:26";"Lu";"2.5"
"9782266320238";"Les désossés";"Epenoux François d'";"Pocket";"2022-02-10";"2022-03-19 09:04:11";"Lu";"3.0"
"9782253935032";"Ohio";"Markley Stephen";"Le Livre de Poche";"2022-01-05";"2022-03-17 07:40:59";"Lu";"4.0"
"9782253068631";"D'après une histoire vraie";"Vigan Delphine de";"Le Livre de Poche";"2017-01-04";"2022-02-27 20:49:58";"Lu";"4.0"
"9782266204996";"Train d'enfer pour Ange rouge";"Thilliez Franck";"Pocket";"2011-06-09";"2022-02-17 00:30:02";"Lu";"3.5"
"9782072915819";"Les enfants sont rois";"Vigan Delphine de";"Gallimard";"2021-03-04";"2022-01-13 18:22:58";"Lu";"4.0"
"9782072835964";"Un bref instant de splendeur";"Vuong Ocean";"Gallimard";"2021-01-07";"2022-01-13 18:16:37";"Lu";"3.0"
"9782072949937";"Le Fils de l'homme";"Del Amo Jean-Baptiste";"Gallimard";"2021-08-19";"2022-01-13 18:15:12";"Lu";"3.5"
"9780812993011";"Creativity, Inc. : Les secrets de l'inspiration par le fondateur de Pixar";"Catmull Ed";"Random House";"2014-04-08";"2022-01-12 23:07:03";"Lu";"0.0"
"9782709648578";"La Faille";"Sorente Isabelle";"jc lattes";"2015-09-02";"2022-01-02 11:20:04";"Lu";"4.5"
"9782226259776";"Du sang sur la Baltique";"Sten Viveca";"Albin Michel";"2014-08-27";"2021-12-26 21:58:35";"Lu";"0.0"
"9782709668507";"Défaire le discours sexiste dans les médias";"Lamy Rose";"jc lattes";"2021-11-10";"2021-12-22 22:33:51";"Lu";"5.0"
"9782370552419";"De Pierre et d'Os";"Cournut Bérengère";"Le Tripode";"2020-10-01";"2021-12-22 22:33:12";"Lu";"4.0"
"9782822230445";"La Saveur du printemps";"Panetta Kevin";"Jungle";"2020-06-11";"2021-12-12 01:42:07";"Lu";"3.5"
"9782212554779";"Hypersensibles : Trop sensibles pour être heureux ?";"Tomasella Saverio";"Eyrolles";"2012-11-23";"2021-12-05 00:07:35";"Lu";"2.5"
"9782290233795";"Le Tatoueur d'Auschwitz";"Morris Heather";"J'ai lu";"2021-01-06";"2021-12-04 12:31:59";"Lu";"3.5"
"9782344043448";"Lettres perdues";"Bishop Jim";"Glénat BD";"2021-09-15";"2021-10-19 08:42:47";"Lu";"4.0"
"9782505048824";"Les Vieux Fourneaux, tome 1 : Ceux qui restent";"Lupano Wilfrid";"Dargaud";"2014-04-11";"2021-10-01 23:05:48";"Lu";"3.5"
"9788893362351";"Francis";"Cioffi Jessica";"Shockdom";"2020-09-25";"2021-09-26 18:37:03";"Lu";"4.0"
"9782290303054";"Les Particules élémentaires";"Houellebecq Michel";"Éd. J'ai lu";"2000-08-31";"2021-09-14 07:19:23";"Lu";"0.0"
"9782205058147";"Le retour à la terre, Tome 4 : Le Déluge";"Ferri Jean-Yves";"Dargaud";"2006-09-01";"2021-08-28 15:06:19";"Lu";"0.0"
"9788893362344";"Blue, tome 1";"Vianello Angela";"Shockdom";"2020-11-13";"2021-08-20 23:23:29";"Lu";"0.0"
